,UID,SITE_ID,STATE,DATE_COL,Ammonia,Chlorophyll A,Dissolved Inorganic Nitrogen,Dissolved Inorganic Phosphate,Dissolved Silica,Nitrate,Nitrate/Nitrite,Nitrite,Nitrogen Particulate,Phosphorus Particulate,Total Dissolved Nitrogen,Total Dissolved Phosphorus,Total Kjeldahl Nitrogen,Total Nitrogen,Total Phosphorus,WTBDY_NM,EPA_REG,NCA_REGION,STATION_DEPTH
0,59,NCCA10-1111,CA,7/1/2010,0.0,3.34,0.014,0.028,,,0.014,,,,,,,0.4075,0.06125375,Mission Bay,9,West Coast,2.5
1,60,NCCA10-1119,CA,7/1/2010,0.01,2.45,0.02,0.026,,,0.01,,,,,,,0.23,0.03737875,San Diego Bay,9,West Coast,3.5
2,61,NCCA10-1123,CA,7/1/2010,0.0,3.82,0.009,0.03,,,0.009,,,,,,,0.33625,0.0481,Mission Bay,9,West Coast,2.2
3,62,NCCA10-1127,CA,7/1/2010,0.0,6.13,0.01,0.028,,,0.01,,,,,,,0.23875,0.04425125,San Diego Bay,9,West Coast,9.5
4,63,NCCA10-1133,NC,6/9/2010,0.002,9.79,0.03,0.043,,,0.028,,,,,,,0.6325,0.09063625,White Oak River,4,East Coast,1.0
5,64,NCCA10-1141,NC,6/22/2010,0.0,3.04,0.031,0.089,,,0.031,,,,,,,0.164375,0.015376875,Back Sound,4,East Coast,2.2
6,65,NCCA10-1149,NC,6/16/2010,0.002,7.51,0.019,0.01,,,0.017,,,,,,,0.443,0.036338,Pamlico Sound,4,East Coast,6.0
7,66,NCCA10-1159,NC,6/22/2010,0.0,10.96,0.029,0.05,,,0.029,,,,,,,0.535625,0.078323125,Bogue Sound,4,East Coast,0.7
8,67,NCCA10-1162,NC,6/2/2010,0.005,13.63,0.005,0.013,,,0.0,,,,,,,0.60875,0.05833375,Upper Broad Creek,4,East Coast,1.3
9,68,NCCA10-1187,NC,6/7/2010,0.044,6.42,0.081,0.02,,,0.037,,,,,,,0.7125,0.04730875,Lockwood Follys River,4,East Coast,2.5
10,69,NCCA10-1188,NC,6/9/2010,0.002,6.38,0.027,0.008,,,0.025,,,,,,,0.22875,0.0293375,New River,4,East Coast,2.9
11,70,NCCA10-1190,FL,6/15/2010,0.0,6.75,0.037,0.009,,,0.037,,,,,,,0.64625,0.06214125,Nassau Sound,4,East Coast,4.47
12,71,NCCA10-1193,FL,6/14/2010,0.017,6.24,0.091,0.061,,,0.074,,,,,,,0.81125,0.096895,Saint Johns River,4,East Coast,11.72
13,72,NCCA10-1197,FL,6/16/2010,0.009,51.14,0.009,0.003,,,0.0,,,,,,,1.308,0.07672,Saint Johns River,4,East Coast,2.78
14,73,NCCA10-1201,FL,6/15/2010,0.0,6.8,0.036,0.015,,,0.036,,,,,,,0.27375,0.04489625,Nassau River System,4,East Coast,5.72
15,74,NCCA10-1206,FL,6/17/2010,0.0,4.35,0.032,0.029,,,0.032,,,,,,,0.28375,0.03963875,Matanzas River,4,East Coast,1.01
16,109,NCCA10-1209,FL,6/16/2010,0.007,6.87,0.015,0.041,,,0.008,,,,,,,0.90375,0.069065,Saint Johns River,4,East Coast,2.53
17,110,NCCA10-1212,FL,6/14/2010,0.005,7.77,0.097,0.073,,,0.092,,,,,,,0.655,0.10470125,Trout River,4,East Coast,1.54
18,111,NCCA10-1213,FL,6/14/2010,0.006,10.92,0.026,0.09,,,0.02,,,,,,,0.74625,0.15590375,Trout River,4,East Coast,2.92
19,177,NCCA10-1294,FL,6/17/2010,0.0,0.76,0.025,0.005,,,0.025,,,,,,,0.2625,0.00229875,Apalachee Bay,4,Gulf Coast,2.25
20,184,NCCA10-1295,FL,6/17/2010,0.0,2.54,0.029,0.005,,,0.029,,,,,,,0.19625,0.00278625,Apalachee Bay,4,Gulf Coast,6.0
21,185,NCCA10-1297,FL,6/16/2010,0.0,4.5,0.026,0.009,,,0.026,,,,,,,0.2875,0.01277375,Apalachee Bay,4,Gulf Coast,0.7
22,186,NCCA10-1299,FL,6/15/2010,0.032,9.91,0.088,0.022,,,0.056,,,,,,,0.62,0.055835,Ochlockonee River System,4,Gulf Coast,7.6
23,187,NCCA10-1328,LA,6/16/2010,0.002,22.39,0.016,0.016,,,0.014,,,,,,,0.9325,0.08135875,Lake Palourde #1,6,Gulf Coast,1.2
24,188,NCCA10-1331,LA,6/15/2010,0.002,18.73,0.002,0.023,,,0.0,,,,,,,0.6675,0.07697375,Hackberry Bay,6,Gulf Coast,1.4
25,189,NCCA10-1332,LA,6/15/2010,0.004,24.75,0.018,0.016,,,0.014,,,,,,,0.92,0.06983125,Bay Desespere,6,Gulf Coast,1.5
26,190,NCCA10-1335,LA,6/14/2010,0.002,6.62,0.002,0.013,,,0.0,,,,,,,0.48,0.03654375,Lake Salvador,6,Gulf Coast,2.6
27,191,NCCA10-1668,FL,6/2/2010,0.004,3.87,0.024,0.068,,,0.02,,,,,,,0.425,0.0835825,Old Tampa Bay,4,Gulf Coast,3.65
28,193,NCCA10-2111,CA,7/1/2010,0.0,2.94,0.013,0.025,,,0.013,,,,,,,0.26125,0.04718875,Mission Bay,9,West Coast,2.3
29,194,NCCA10-2301,FL,6/15/2010,0.0,,0.027,0.009,,,0.027,,,,,,,0.49625,0.05009625,Ochlockonee Bay,4,Gulf Coast,1.2
30,195,NCCA10-2302,FL,6/16/2010,0.0,2.49,0.025,0.006,,,0.025,,,,,,,0.2975,0.01007875,Apalachee Bay,4,Gulf Coast,3.2
31,196,NCCAGL10-GLBA10-031,MI,6/21/2010,0.008,0.59,0.243,0.006,,,0.235,,,,,,,0.3525,0.0,Lake Michigan,5,Great Lakes,0.9
32,197,NCCAGL10-GLBA10-075,MI,6/22/2010,0.008,0.47,0.269,0.006,,,0.261,,,,,,,0.353125,0.0,Lake Michigan,5,Great Lakes,18.9
33,198,NCCAGL10-GLBA10-079,MI,6/17/2010,0.01,0.79,0.241,0.004,,,0.231,,,,,,,0.39875,0.0,Lake Michigan,5,Great Lakes,4.3
34,199,NCCAGL10-GLBA10-158,MI,6/23/2010,0.007,0.49,0.255,0.006,,,0.248,,,,,,,0.356875,0.0,Lake Michigan,5,Great Lakes,5.9
35,200,NCCAGL10-NPS09-021,MI,6/24/2010,0.005,0.62,0.286,0.008,,,0.281,,,,,,,0.418875,0.003470375,Lake Michigan,5,Great Lakes,6.3
36,211,NCCAGL10-1157,OH,6/14/2010,0.014,93.08,0.864,0.01,,,0.85,,,,,,,1.659,0.07838625,Lake Erie,5,Great Lakes,6.5
37,212,NCCAGL10-1149,OH,6/22/2010,0.022,7.66,1.104,0.012,,,1.082,,,,,,,1.415,0.019129375,Lake Erie,5,Great Lakes,6.7
38,213,NCCAGL10-1144,OH,6/17/2010,0.063,3.94,2.968,0.048,,,2.905,,,,,,,3.381,0.07889125,Lake Erie,5,Great Lakes,3.7
39,214,NCCA10-1336,LA,6/24/2010,0.002,19.42746667,0.022,0.014,,,0.02,,,,,,,0.79125,0.072140875,Timbalier Bay,6,Gulf Coast,1.3
40,215,NCCA10-1324,LA,6/24/2010,0.001,20.5,0.022,0.013,,,0.021,,,,,,,0.74425,0.064448875,Timbalier Bay,6,Gulf Coast,2.2
41,247,NCCA10-1046,NH,6/29/2010,0.006,2.33,0.012,0.021,,,0.006,0.0,,,,,,0.26,0.043,Great Bay,1,East Coast,0.5
42,248,NCCA10-1047,NH,6/30/2010,0.011,3.47,0.027,0.032,,,0.016,0.0,,,,,,0.265,0.049,Hampton River/Hampton Harbor,1,East Coast,0.6
43,249,NCCA10-1489,FL,6/8/2010,0.015,1.27,0.052,0.006,,,0.037,,,,,,,0.3725,0.008185,Anclote Anchorage,4,Gulf Coast,2.52
44,250,NCCA10-1671,FL,6/2/2010,0.011,4.42,0.037,0.084,,,0.026,,,,,,,0.33625,0.09624125,Tampa Bay,4,Gulf Coast,4.1
45,251,NCCA10-1672,FL,6/3/2010,0.004,7.69,0.024,0.055,,,0.02,,,,,,,0.5625,0.16950375,Hillsborough Bay,4,Gulf Coast,2.25
46,252,NCCA10-1674,FL,6/4/2010,0.002,5.94,0.036,0.01,,,0.034,,,,,,,0.39,0.03524375,Boca Ciega Bay,4,Gulf Coast,1.1
47,256,NCCAGL10-GLBA10-091,MI,6/14/2010,0.005,0.98,0.25,0.004,,,0.245,,,,,,,0.33625,0.0,Lake Michigan,5,Great Lakes,18.3
48,257,NCCAGL10-GLBA10-003,MI,6/24/2010,0.003,0.84,0.259,0.007,,,0.256,,,,,,,0.3985,0.004011875,Lake Michigan,5,Great Lakes,5.9
49,258,NCCAGL10-2091,MI,6/23/2010,0.007,0.32,0.299,0.006,,,0.292,,,,,,,0.335625,0.0,Lake Huron,5,Great Lakes,11.2
50,259,NCCAGL10-1166,MI,6/16/2010,0.024,15.21,0.401,0.005,,,0.377,,,,,,,0.7225,0.06839375,Lake Erie,5,Great Lakes,5.3
51,260,NCCAGL10-1160,MI,6/17/2010,0.123,1.22,0.523,0.009,,,0.4,,,,,,,0.66625,0.0149825,Lake Erie,5,Great Lakes,4.7
52,261,NCCAGL10-1154,MI,6/14/2010,0.005,30.36,1.023,0.021,,,1.018,,,,,,,3.009,0.0761725,Lake Erie,5,Great Lakes,3.7
53,262,NCCAGL10-1140,MI,6/15/2010,0.007,19.45,1.549,0.005,,,1.542,,,,,,,2.055,0.0831675,Lake Erie,5,Great Lakes,3.5
54,266,NCCAGL10-1134,MI,6/24/2010,0.006,0.3,0.347,0.011,,,0.341,,,,,,,0.463,0.0,Lake Huron,5,Great Lakes,14.0
55,267,NCCAGL10-1129,MI,6/21/2010,0.009,0.25,0.32,0.007,,,0.311,,,,,,,0.378125,0.0,Lake Huron,5,Great Lakes,10.0
56,268,NCCAGL10-1123,MI,6/25/2010,0.006,0.32,0.332,0.012,,,0.326,,,,,,,0.453,0.0,Lake Huron,5,Great Lakes,14.0
57,269,NCCAGL10-1119,MI,6/23/2010,0.007,0.28,0.286,0.007,,,0.279,,,,,,,0.351875,0.0,Lake Huron,5,Great Lakes,11.0
58,270,NCCAGL10-1092,MI,6/22/2010,0.011,0.29,0.305,0.006,,,0.294,,,,,,,0.353125,0.0,Lake Huron,5,Great Lakes,11.0
59,271,NCCAGL10-1045,MI,6/25/2010,0.004,0.67,0.315,0.003,,,0.311,,,,,,,0.42875,0.003348875,Lake Superior,5,Great Lakes,5.5
60,272,NCCAGL10-1036,MI,6/23/2010,0.001,0.96,0.338,0.008,,,0.337,,,,,,,0.376875,0.0,Lake Superior,5,Great Lakes,9.9
