UID,Site ID,State,Date Collected,Chlorophyll A,Dissolved Inorganic Nitrogen,Ammonia,Nitrate/Nitrite,Total Nitrogen,Total Phosphorus,Dissolved Inorganic Phosphate,Waterbody Name,NCCR Region,EPA Region,Province,NCA Region,Latitude,Longitude
59,NCCA10-1111,CA,7/1/2010,3.34,0.014,0.0,0.014,0.4075,0.06125375,0.028,Mission Bay,West,9,Californian Province,West Coast,32.77361,-117.21471
60,NCCA10-1119,CA,7/1/2010,2.45,0.02,0.01,0.01,0.23,0.03737875,0.026,San Diego Bay,West,9,Californian Province,West Coast,32.71424,-117.23527
61,NCCA10-1123,CA,7/1/2010,3.82,0.009,0.0,0.009,0.33625,0.0481,0.03,Mission Bay,West,9,Californian Province,West Coast,32.78372,-117.22132
62,NCCA10-1127,CA,7/1/2010,6.13,0.01,0.0,0.01,0.23875,0.04425125,0.028,San Diego Bay,West,9,Californian Province,West Coast,32.72245,-117.20443
63,NCCA10-1133,NC,6/9/2010,9.79,0.03,0.002,0.028,0.6325,0.09063625,0.043,White Oak River,Southeast,4,Carolinian Province,East Coast,34.75098,-77.12117
64,NCCA10-1141,NC,6/22/2010,3.04,0.031,0.0,0.031,0.164375,0.015376875,0.089,Back Sound,Southeast,4,Carolinian Province,East Coast,34.69108,-76.58123
65,NCCA10-1149,NC,6/16/2010,7.51,0.019,0.002,0.017,0.443,0.036338,0.01,Pamlico Sound,Southeast,4,Carolinian Province,East Coast,35.16013,-76.23504
66,NCCA10-1159,NC,6/22/2010,10.96,0.029,0.0,0.029,0.535625,0.078323125,0.05,Bogue Sound,Southeast,4,Carolinian Province,East Coast,34.72364,-76.89447
67,NCCA10-1162,NC,6/2/2010,13.63,0.005,0.005,0.0,0.60875,0.05833375,0.013,Upper Broad Creek,Southeast,4,Carolinian Province,East Coast,35.10536,-76.93667
68,NCCA10-1187,NC,6/7/2010,6.42,0.081,0.044,0.037,0.7125,0.04730875,0.02,Lockwood Follys River,Southeast,4,Carolinian Province,East Coast,33.94715,-78.22403
69,NCCA10-1188,NC,6/9/2010,6.38,0.027,0.002,0.025,0.22875,0.0293375,0.008,New River,Southeast,4,Carolinian Province,East Coast,34.67083,-77.38874
70,NCCA10-1190,FL,6/15/2010,6.75,0.037,0.0,0.037,0.64625,0.06214125,0.009,Nassau Sound,Southeast,4,Carolinian Province,East Coast,30.5087,-81.43506
71,NCCA10-1193,FL,6/14/2010,6.24,0.091,0.017,0.074,0.81125,0.096895,0.061,Saint Johns River,Southeast,4,Carolinian Province,East Coast,30.32022,-81.62621
72,NCCA10-1197,FL,6/16/2010,51.14,0.009,0.009,0.0,1.308,0.07672,0.003,Saint Johns River,Southeast,4,Carolinian Province,East Coast,30.00393,-81.64204
73,NCCA10-1201,FL,6/15/2010,6.8,0.036,0.0,0.036,0.27375,0.04489625,0.015,Nassau River System,Southeast,4,Carolinian Province,East Coast,30.54926,-81.4944
74,NCCA10-1206,FL,6/17/2010,4.35,0.032,0.0,0.032,0.28375,0.03963875,0.029,Matanzas River,Southeast,4,Carolinian Province,East Coast,29.77885,-81.27244
109,NCCA10-1209,FL,6/16/2010,6.87,0.015,0.007,0.008,0.90375,0.069065,0.041,Saint Johns River,Southeast,4,Carolinian Province,East Coast,30.19072,-81.6427
110,NCCA10-1212,FL,6/14/2010,7.77,0.097,0.005,0.092,0.655,0.10470125,0.073,Trout River,Southeast,4,Carolinian Province,East Coast,30.387,-81.63767
111,NCCA10-1213,FL,6/14/2010,10.92,0.026,0.006,0.02,0.74625,0.15590375,0.09,Trout River,Southeast,4,Carolinian Province,East Coast,30.40999,-81.67476
177,NCCA10-1294,FL,6/17/2010,0.76,0.025,0.0,0.025,0.2625,0.00229875,0.005,Apalachee Bay,Gulf,4,Louisianian Province,Gulf Coast,29.96718,-83.94444
184,NCCA10-1295,FL,6/17/2010,2.54,0.029,0.0,0.029,0.19625,0.00278625,0.005,Apalachee Bay,Gulf,4,Louisianian Province,Gulf Coast,29.97564,-84.11745
185,NCCA10-1297,FL,6/16/2010,4.5,0.026,0.0,0.026,0.2875,0.01277375,0.009,Apalachee Bay,Gulf,4,Louisianian Province,Gulf Coast,30.0095,-84.30966
186,NCCA10-1299,FL,6/15/2010,9.91,0.088,0.032,0.056,0.62,0.055835,0.022,Ochlockonee River System,Gulf,4,Louisianian Province,Gulf Coast,29.97255,-84.4575
187,NCCA10-1328,LA,6/16/2010,22.39,0.016,0.002,0.014,0.9325,0.08135875,0.016,Lake Palourde #1,Gulf,6,Louisianian Province,Gulf Coast,29.21237,-90.126557
188,NCCA10-1331,LA,6/15/2010,18.73,0.002,0.002,0.0,0.6675,0.07697375,0.023,Hackberry Bay,Gulf,6,Louisianian Province,Gulf Coast,29.41885,-90.01827
189,NCCA10-1332,LA,6/15/2010,24.75,0.018,0.004,0.014,0.92,0.06983125,0.016,Bay Desespere,Gulf,6,Louisianian Province,Gulf Coast,29.27925,-90.07675
190,NCCA10-1335,LA,6/14/2010,6.62,0.002,0.002,0.0,0.48,0.03654375,0.013,Lake Salvador,Gulf,6,Louisianian Province,Gulf Coast,29.66667,-90.27254
191,NCCA10-1668,FL,6/2/2010,3.87,0.024,0.004,0.02,0.425,0.0835825,0.068,Old Tampa Bay,Gulf,4,West Indian Province,Gulf Coast,27.88783,-82.55766
193,NCCA10-2111,CA,7/1/2010,2.94,0.013,0.0,0.013,0.26125,0.04718875,0.025,Mission Bay,West,9,Californian Province,West Coast,32.79053,-117.22482
194,NCCA10-2301,FL,6/15/2010,,0.027,0.0,0.027,0.49625,0.05009625,0.009,Ochlockonee Bay,Gulf,4,Louisianian Province,Gulf Coast,29.94712,-84.3432
195,NCCA10-2302,FL,6/16/2010,2.49,0.025,0.0,0.025,0.2975,0.01007875,0.006,Apalachee Bay,Gulf,4,Louisianian Province,Gulf Coast,30.02836,-84.12933
196,NCCAGL10-GLBA10-031,MI,6/21/2010,0.59,0.243,0.008,0.235,0.3525,0.0,0.006,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,44.8143,-85.47782
197,NCCAGL10-GLBA10-075,MI,6/22/2010,0.47,0.269,0.008,0.261,0.353125,0.0,0.006,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,45.13508,-85.58075
198,NCCAGL10-GLBA10-079,MI,6/17/2010,0.79,0.241,0.01,0.231,0.39875,0.0,0.004,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,44.76507,-85.55354
199,NCCAGL10-GLBA10-158,MI,6/23/2010,0.49,0.255,0.007,0.248,0.356875,0.0,0.006,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,45.37795,-84.96304
200,NCCAGL10-NPS09-021,MI,6/24/2010,0.62,0.286,0.005,0.281,0.418875,0.003470375,0.008,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,44.9704,-85.93703
211,NCCAGL10-1157,OH,6/14/2010,93.08,0.864,0.014,0.85,1.659,0.07838625,0.01,Lake Erie,Great Lakes,5,Great Lakes Province,Great Lakes,41.71195,-83.249
212,NCCAGL10-1149,OH,6/22/2010,7.66,1.104,0.022,1.082,1.415,0.019129375,0.012,Lake Erie,Great Lakes,5,Great Lakes Province,Great Lakes,41.56665,-82.76543
213,NCCAGL10-1144,OH,6/17/2010,3.94,2.968,0.063,2.905,3.381,0.07889125,0.048,Lake Erie,Great Lakes,5,Great Lakes Province,Great Lakes,41.634,-83.16843
214,NCCA10-1336,LA,6/24/2010,19.42746667,0.022,0.002,0.02,0.79125,0.072140875,0.014,Timbalier Bay,Gulf,6,Louisianian Province,Gulf Coast,29.1073,-90.37287
215,NCCA10-1324,LA,6/24/2010,20.5,0.022,0.001,0.021,0.74425,0.064448875,0.013,Timbalier Bay,Gulf,6,Louisianian Province,Gulf Coast,29.15005,-90.36137
247,NCCA10-1046,NH,6/29/2010,2.33,0.012,0.006,0.006,0.26,0.043,0.021,Great Bay,Northeast,1,Acadian Province,East Coast,43.07436,-70.8894
248,NCCA10-1047,NH,6/30/2010,3.47,0.027,0.011,0.016,0.265,0.049,0.032,Hampton River/Hampton Harbor,Northeast,1,Acadian Province,East Coast,42.91171,-70.83081
249,NCCA10-1489,FL,6/8/2010,1.27,0.052,0.015,0.037,0.3725,0.008185,0.006,Anclote Anchorage,Gulf,4,Louisianian Province,Gulf Coast,28.19767,-82.83552
250,NCCA10-1671,FL,6/2/2010,4.42,0.037,0.011,0.026,0.33625,0.09624125,0.084,Tampa Bay,Gulf,4,West Indian Province,Gulf Coast,27.73763,-82.57149
251,NCCA10-1672,FL,6/3/2010,7.69,0.024,0.004,0.02,0.5625,0.16950375,0.055,Hillsborough Bay,Gulf,4,West Indian Province,Gulf Coast,27.83526,-82.4108
252,NCCA10-1674,FL,6/4/2010,5.94,0.036,0.002,0.034,0.39,0.03524375,0.01,Boca Ciega Bay,Gulf,4,West Indian Province,Gulf Coast,27.71559,-82.71304
256,NCCAGL10-GLBA10-091,MI,6/14/2010,0.98,0.25,0.005,0.245,0.33625,0.0,0.004,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,44.79015,-85.62798
257,NCCAGL10-GLBA10-003,MI,6/24/2010,0.84,0.259,0.003,0.256,0.3985,0.004011875,0.007,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,45.41889,-84.93115
258,NCCAGL10-2091,MI,6/23/2010,0.32,0.299,0.007,0.292,0.335625,0.0,0.006,Lake Huron,Great Lakes,5,Great Lakes Province,Great Lakes,43.43814,-82.52564
259,NCCAGL10-1166,MI,6/16/2010,15.21,0.401,0.024,0.377,0.7225,0.06839375,0.005,Lake Erie,Great Lakes,5,Great Lakes Province,Great Lakes,41.91765,-83.29772
260,NCCAGL10-1160,MI,6/17/2010,1.22,0.523,0.123,0.4,0.66625,0.0149825,0.009,Lake Erie,Great Lakes,5,Great Lakes Province,Great Lakes,41.98627,-83.16031
261,NCCAGL10-1154,MI,6/14/2010,30.36,1.023,0.005,1.018,3.009,0.0761725,0.021,Lake Erie,Great Lakes,5,Great Lakes Province,Great Lakes,41.77545,-83.42468
262,NCCAGL10-1140,MI,6/15/2010,19.45,1.549,0.007,1.542,2.055,0.0831675,0.005,Lake Erie,Great Lakes,5,Great Lakes Province,Great Lakes,41.8552,-83.37198
266,NCCAGL10-1134,MI,6/24/2010,0.3,0.347,0.006,0.341,0.463,0.0,0.011,Lake Huron,Great Lakes,5,Great Lakes Province,Great Lakes,43.59361,-82.54537
267,NCCAGL10-1129,MI,6/21/2010,0.25,0.32,0.009,0.311,0.378125,0.0,0.007,Lake Huron,Great Lakes,5,Great Lakes Province,Great Lakes,43.12812,-82.44211
268,NCCAGL10-1123,MI,6/25/2010,0.32,0.332,0.006,0.326,0.453,0.0,0.012,Lake Huron,Great Lakes,5,Great Lakes Province,Great Lakes,43.66902,-82.55299
269,NCCAGL10-1119,MI,6/23/2010,0.28,0.286,0.007,0.279,0.351875,0.0,0.007,Lake Huron,Great Lakes,5,Great Lakes Province,Great Lakes,43.35896,-82.50517
270,NCCAGL10-1092,MI,6/22/2010,0.29,0.305,0.011,0.294,0.353125,0.0,0.006,Lake Huron,Great Lakes,5,Great Lakes Province,Great Lakes,43.24616,-82.46439
271,NCCAGL10-1045,MI,6/25/2010,0.67,0.315,0.004,0.311,0.42875,0.003348875,0.003,Lake Superior,Great Lakes,5,Great Lakes Province,Great Lakes,46.53119,-84.96207
272,NCCAGL10-1036,MI,6/23/2010,0.96,0.338,0.001,0.337,0.376875,0.0,0.008,Lake Superior,Great Lakes,5,Great Lakes Province,Great Lakes,46.913102,-89.262279
273,NCCAGL10-1026,MI,6/21/2010,0.52,0.352,0.002,0.35,0.3925,0.0,0.008,Lake Superior,Great Lakes,5,Great Lakes Province,Great Lakes,47.116046,-88.910425
